TYPE,MEOH,ACET,BU1,MEPR,ACAL,LNPRO1
KIRSCH (Brandy),3.0,15.0,0.2,9.0,9.0,5.86
KIRSCH (Brandy),23.0,13.0,0.8,9.0,2.0,6.67
KIRSCH (Brandy),65.0,96.0,0.4,9.0,4.0,5.31
KIRSCH (Brandy),279.0,66.0,0.9,36.0,4.8,5.45
KIRSCH (Brandy),292.0,210.0,1.1,34.0,8.0,4.08
KIRSCH (Brandy),371.0,414.0,1.2,39.0,9.0,6.22
KIRSCH (Brandy),393.0,287.0,1.8,41.0,9.7,6.47
KIRSCH (Brandy),394.0,217.0,1.0,31.0,8.6,6.31
KIRSCH (Brandy),418.0,62.0,0.8,24.0,7.0,5.83
KIRSCH (Brandy),426.0,204.0,1.3,37.0,8.6,6.07
KIRSCH (Brandy),465.0,267.0,1.5,39.0,17.0,8.01
KIRSCH (Brandy),469.0,226.0,1.6,35.0,8.0,6.21
KIRSCH (Brandy),475.0,172.0,1.9,33.0,14.0,6.30
KIRSCH (Brandy),498.0,343.0,2.3,42.0,21.0,6.59
KIRSCH (Brandy),507.0,397.0,3.3,30.0,21.0,5.98
KIRSCH (Brandy),523.0,367.0,2.6,45.0,25.0,6.67
KIRSCH (Brandy),583.0,226.0,2.3,46.0,11.0,6.49
KIRSCH (Brandy),632.5,342.3,2.2,38.2,13.3,7.64
MIRABELLE (Liqueur),595.0,410.0,16.0,24.0,11.4,5.09
MIRABELLE (Liqueur),630.0,243.0,13.0,13.0,13.0,5.87
MIRABELLE (Liqueur),707.0,131.0,15.0,28.0,9.0,4.89
MIRABELLE (Liqueur),748.0,346.0,13.0,28.0,25.0,4.43
MIRABELLE (Liqueur),771.0,339.0,21.0,50.0,13.0,4.69
MIRABELLE (Liqueur),798.0,123.0,15.0,30.0,9.6,4.36
MIRABELLE (Liqueur),842.0,299.0,20.0,27.0,11.0,3.95
MIRABELLE (Liqueur),847.0,381.0,16.0,44.0,20.0,5.26
MIRABELLE (Liqueur),883.0,205.0,17.0,32.0,13.0,5.34
MIRABELLE (Liqueur),885.0,41.0,18.0,34.0,4.7,4.85
MIRABELLE (Liqueur),887.0,423.0,9.3,36.0,15.0,5.86
MIRABELLE (Liqueur),903.0,312.0,24.0,24.0,7.0,4.26
MIRABELLE (Liqueur),917.0,86.0,26.0,21.0,14.0,4.57
MIRABELLE (Liqueur),961.0,58.0,16.0,59.0,8.3,4.19
MIRABELLE (Liqueur),965.0,176.0,18.0,43.0,13.0,4.63
MIRABELLE (Liqueur),1010.0,343.0,19.0,27.0,11.0,3.85
MIRABELLE (Liqueur),1013.0,116.0,21.0,22.0,10.0,4.11
MIRABELLE (Liqueur),1026.0,84.0,10.0,72.0,11.0,5.22
MIRABELLE (Liqueur),1035.0,159.0,21.0,22.0,15.0,4.16
MIRABELLE (Liqueur),1038.0,396.0,18.0,28.0,11.0,4.11
MIRABELLE (Liqueur),1041.0,399.0,20.0,37.0,9.6,4.73
MIRABELLE (Liqueur),1044.0,217.0,18.0,15.0,10.0,4.98
MIRABELLE (Liqueur),1069.0,112.0,17.0,24.0,8.5,4.23
MIRABELLE (Liqueur),1073.0,483.0,23.0,16.0,24.0,6.71
MIRABELLE (Liqueur),1090.0,106.0,18.0,26.0,22.0,4.60
MIRABELLE (Liqueur),1105.0,495.0,21.0,18.0,12.0,6.40
MIRABELLE (Liqueur),1110.0,169.0,17.0,22.0,16.0,7.17
MIRABELLE (Liqueur),1119.0,412.0,20.0,37.0,8.2,4.77
MIRABELLE (Liqueur),1123.0,109.0,19.0,27.0,8.4,4.33
POIRE (Fermented Pear Juice),546.0,119.0,12.0,28.0,7.4,3.30
POIRE (Fermented Pear Juice),620.0,123.0,20.0,26.0,18.0,6.28
POIRE (Fermented Pear Juice),626.0,149.0,10.0,15.0,7.6,5.31
POIRE (Fermented Pear Juice),664.0,150.0,14.0,32.0,7.7,3.64
POIRE (Fermented Pear Juice),810.0,176.0,10.0,58.0,6.0,5.66
POIRE (Fermented Pear Juice),815.0,147.0,17.0,39.0,15.0,5.87
POIRE (Fermented Pear Juice),817.0,130.0,8.6,21.0,8.6,5.36
POIRE (Fermented Pear Juice),898.0,80.0,19.0,29.0,9.5,4.09
POIRE (Fermented Pear Juice),910.0,214.0,24.0,57.0,13.0,5.92
POIRE (Fermented Pear Juice),927.0,155.0,10.0,27.0,10.0,4.13
POIRE (Fermented Pear Juice),938.0,175.0,22.0,48.0,12.0,7.94
POIRE (Fermented Pear Juice),951.0,153.0,30.0,51.0,14.0,4.54
POIRE (Fermented Pear Juice),970.0,338.0,15.0,30.0,14.0,5.32
POIRE (Fermented Pear Juice),1029.0,182.0,20.0,54.0,15.0,5.63
POIRE (Fermented Pear Juice),1040.0,197.0,18.0,50.0,4.3,4.28
POIRE (Fermented Pear Juice),1087.0,269.0,16.0,29.0,10.0,6.39
POIRE (Fermented Pear Juice),1116.0,113.0,30.0,69.0,17.0,4.03
POIRE (Fermented Pear Juice),1119.0,124.0,19.0,59.0,15.0,7.22
POIRE (Fermented Pear Juice),1121.0,181.0,16.0,32.0,17.0,3.91
POIRE (Fermented Pear Juice),1135.0,245.0,18.0,32.0,9.1,6.81
POIRE (Fermented Pear Juice),1148.0,127.0,30.0,53.0,16.0,4.49
POIRE (Fermented Pear Juice),1154.0,203.0,15.0,56.0,14.0,3.91
POIRE (Fermented Pear Juice),1187.0,143.0,30.0,61.0,14.0,4.16
POIRE (Fermented Pear Juice),1197.0,152.0,30.0,62.0,11.0,4.85
POIRE (Fermented Pear Juice),1237.0,154.0,30.0,59.0,10.0,5.26
POIRE (Fermented Pear Juice),1264.0,224.0,20.0,49.0,17.0,6.23
POIRE (Fermented Pear Juice),1286.0,144.0,30.0,52.0,15.0,4.22
POIRE (Fermented Pear Juice),1401.0,219.0,20.0,41.0,22.0,4.14
POIRE (Fermented Pear Juice),1501.0,161.0,19.0,25.0,21.0,6.84
POIRE (Fermented Pear Juice),1548.0,254.0,16.0,46.0,28.0,4.64
